Client,Recency,Frequency,Revenue,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
Kathryn Rogers,414,3,208,1,0,0,1,Low-Value
Jacob Smith,414,1,117,1,0,0,1,Low-Value
Marie Burns,414,13,3035,1,0,0,1,Low-Value
Tammy Stuart,414,16,1786,1,0,0,1,Low-Value
James Freeman,414,2,382,1,0,0,1,Low-Value
Joseph Acevedo,414,16,260,1,0,0,1,Low-Value
Tracy Hubbard MD,414,28,661,1,0,0,1,Low-Value
Amanda Clark,414,1,2,1,0,0,1,Low-Value
Kenneth Macias,414,1,494,1,0,0,1,Low-Value
Miguel Schmidt,414,1,41,1,0,0,1,Low-Value
Joshua Castro,414,5,157,1,0,0,1,Low-Value
Mr. Michael Weeks MD,414,2,2354,1,0,0,1,Low-Value
Nicole Berger,414,10,2713,1,0,0,1,Low-Value
Jason Hines,414,1,43,1,0,0,1,Low-Value
John Baldwin,414,1,59,1,0,0,1,Low-Value
Mrs. Sarah Wilkerson MD,414,8,1135,1,0,0,1,Low-Value
Aaron Garcia,414,1,12,1,0,0,1,Low-Value
Morgan Dixon,408,5,457,1,0,0,1,Low-Value
Christina Phillips,414,1,90,1,0,0,1,Low-Value
Stephen Wolfe,414,1,80,1,0,0,1,Low-Value
Stephanie Moore,414,19,1341,1,0,0,1,Low-Value
Jasmine Townsend,414,4,16,1,0,0,1,Low-Value
Tyler Newton,413,1,168,1,0,0,1,Low-Value
Scott Vincent,413,3,468,1,0,0,1,Low-Value
Melissa Roberson,413,6,989,1,0,0,1,Low-Value
Beth Brown,413,2,23,1,0,0,1,Low-Value
David Evans,413,1,374,1,0,0,1,Low-Value
Kimberly Garcia,413,1,297,1,0,0,1,Low-Value
Paula Salazar,408,38,1525,1,0,0,1,Low-Value
Amy Owen,413,4,1396,1,0,0,1,Low-Value
Carlos Hernandez,413,8,2990,1,0,0,1,Low-Value
Betty Edwards,413,1,538,1,0,0,1,Low-Value
Amber Mueller,413,3,18,1,0,0,1,Low-Value
Michelle Flores,413,8,4234,1,0,0,1,Low-Value
Andrea Wise,413,1,45,1,0,0,1,Low-Value
Karen Duran,413,4,24,1,0,0,1,Low-Value
Matthew Nunez,413,1,102,1,0,0,1,Low-Value
Blake Carlson,413,2,47,1,0,0,1,Low-Value
Kyle Jones,413,1,162,1,0,0,1,Low-Value
Raymond Pham,413,9,659,1,0,0,1,Low-Value
Carrie Hammond,413,3,60,1,0,0,1,Low-Value
Stacy Stafford,413,17,231,1,0,0,1,Low-Value
John Yates,413,2,238,1,0,0,1,Low-Value
Mike Gates,413,6,189,1,0,0,1,Low-Value
Deanna Farmer,413,2,350,1,0,0,1,Low-Value
Maria Griffin,413,2,360,1,0,0,1,Low-Value
Jesse Hall,413,6,2826,1,0,0,1,Low-Value
David Pearson,413,3,612,1,0,0,1,Low-Value
Stephen Larsen,413,7,508,1,0,0,1,Low-Value
Susan Lucas,413,4,216,1,0,0,1,Low-Value
Melissa Wheeler,413,1,24,1,0,0,1,Low-Value
Brett Cruz,412,1,104,1,0,0,1,Low-Value
Madison Wilson,412,1,35,1,0,0,1,Low-Value
Kimberly Wright,412,1,288,1,0,0,1,Low-Value
Tracy White,412,1,99,1,0,0,1,Low-Value
Tiffany Lee,412,15,444,1,0,0,1,Low-Value
Jennifer Dougherty,412,2,6574,1,0,0,1,Low-Value
Sarah Summers,412,2,72,1,0,0,1,Low-Value
Shawn Contreras,412,18,742,1,0,0,1,Low-Value
Nathan Powers,412,1,748,1,0,0,1,Low-Value
Andrew Savage,412,1,36,1,0,0,1,Low-Value
Tammy Smith,412,21,565,1,0,0,1,Low-Value
Mary Tucker,412,1,180,1,0,0,1,Low-Value
Lisa Castillo,410,3,497,1,0,0,1,Low-Value
Michael Guerrero,410,7,74,1,0,0,1,Low-Value
Dean Davis,410,2,31,1,0,0,1,Low-Value
Amanda Campbell,410,9,85,1,0,0,1,Low-Value
Jacob Morgan,410,6,162,1,0,0,1,Low-Value
Danielle Miller,410,3,76,1,0,0,1,Low-Value
Donald Shelton,410,3,1172,1,0,0,1,Low-Value
John Mendez,409,59,1970,1,0,0,1,Low-Value
Jordan Roach,410,11,134,1,0,0,1,Low-Value
Michael Boyle,410,10,133,1,0,0,1,Low-Value
Alan Wallace,410,1,360,1,0,0,1,Low-Value
Natasha Black,410,6,3701,1,0,0,1,Low-Value
Jenna Walker,410,3,64,1,0,0,1,Low-Value
Luke Craig,410,1,40,1,0,0,1,Low-Value
Amanda Robinson,409,34,824,1,0,0,1,Low-Value
Matthew Nguyen,409,2,1195,1,0,0,1,Low-Value
Calvin Williamson,409,1,270,1,0,0,1,Low-Value
Rebecca Yates,409,12,165.6,1,0,0,1,Low-Value
Jamie Hoffman,409,9,362,1,0,0,1,Low-Value
Danielle Hernandez,409,4,221,1,0,0,1,Low-Value
Jennifer Payne MD,409,1,203,1,0,0,1,Low-Value
Kathleen Phillips,409,2,437,1,0,0,1,Low-Value
Yolanda Mcguire,409,1,554,1,0,0,1,Low-Value
Renee Smith,409,6,736,1,0,0,1,Low-Value
Paul Clark,409,4,789,1,0,0,1,Low-Value
Troy Martinez,409,1,351,1,0,0,1,Low-Value
Denise Ewing,409,15,323,1,0,0,1,Low-Value
Robert Gillespie,409,2,81,1,0,0,1,Low-Value
Russell Barton,409,3,99,1,0,0,1,Low-Value
Gina Vang,409,29,1086,1,0,0,1,Low-Value
Maria Perry,409,6,414,1,0,0,1,Low-Value
Wendy Fritz,409,5,3055,1,0,0,1,Low-Value
Denise Kim,409,4,643,1,0,0,1,Low-Value
Karen Barr,409,2,34,1,0,0,1,Low-Value
Diane Ramsey,409,1,41,1,0,0,1,Low-Value
Jeffrey Holmes,409,2,2300,1,0,0,1,Low-Value
Stephen Davis,409,5,1665,1,0,0,1,Low-Value
Lisa Scott,409,4,218,1,0,0,1,Low-Value
Catherine Wheeler,409,4,61,1,0,0,1,Low-Value
Megan Zimmerman,409,2,730,1,0,0,1,Low-Value
Mary Moody,409,11,911,1,0,0,1,Low-Value
Susan Carlson,409,1,166,1,0,0,1,Low-Value
Teresa Taylor,409,1,20,1,0,0,1,Low-Value
Brittany Perkins,408,1,34,1,0,0,1,Low-Value
Sara Lopez,408,1,280,1,0,0,1,Low-Value
Blake Rodriguez,408,5,1633,1,0,0,1,Low-Value
Craig Young,408,3,450,1,0,0,1,Low-Value
Courtney Williams,408,16,1499,1,0,0,1,Low-Value
Philip Maxwell,408,3,152,1,0,0,1,Low-Value
Marie Phillips,408,4,168,1,0,0,1,Low-Value
Brian Fields,408,14,716,1,0,0,1,Low-Value
Adam Miller,408,2,334,1,0,0,1,Low-Value
James Hardy,408,1,210,1,0,0,1,Low-Value
John King,408,2,788,1,0,0,1,Low-Value
Maria Poole,408,3,772,1,0,0,1,Low-Value
Heather Anderson,408,1,34,1,0,0,1,Low-Value
Kathleen Koch,408,2,430,1,0,0,1,Low-Value
April Carter,408,4,8,1,0,0,1,Low-Value
Eric Ford,408,1,748,1,0,0,1,Low-Value
Steven Glover,408,10,553,1,0,0,1,Low-Value
Laurie Robinson,408,4,356,1,0,0,1,Low-Value
Amy Little,408,8,73,1,0,0,1,Low-Value
Scott Morton,408,1,4,1,0,0,1,Low-Value
Terry Drake,408,2,107,1,0,0,1,Low-Value
David Moore,408,1,131,1,0,0,1,Low-Value
Michael Owen,408,9,628.6,1,0,0,1,Low-Value
Jason Young,408,2,654,1,0,0,1,Low-Value
Taylor Johnson,408,92,607.3,1,0,0,1,Low-Value
Amber Ross,408,2,28,1,0,0,1,Low-Value
Renee Fletcher,408,2,90,1,0,0,1,Low-Value
Gary Adams,408,12,2656,1,0,0,1,Low-Value
Sara Guerra,408,48,1158,1,0,0,1,Low-Value
Tiffany Bowman,407,2,19,1,0,0,1,Low-Value
Jason Hernandez,407,10,3730,1,0,0,1,Low-Value
Stanley Davis,407,11,508,1,0,0,1,Low-Value
Kristy Nelson,407,2,54,1,0,0,1,Low-Value
Julie Duran,407,3,61,1,0,0,1,Low-Value
Joshua Cruz,364,2,3580,1,0,0,1,Low-Value
Crystal Mckee,407,3,104,1,0,0,1,Low-Value
Jason Baker,407,1,379,1,0,0,1,Low-Value
Ronald Howard Jr.,407,2,219,1,0,0,1,Low-Value
Jeffrey Kennedy,407,4,20,1,0,0,1,Low-Value
Scott Trevino,407,1,13,1,0,0,1,Low-Value
Michael Richardson,407,8,949,1,0,0,1,Low-Value
Cathy Strickland,407,2,7,1,0,0,1,Low-Value
Samantha Hampton,407,1,21,1,0,0,1,Low-Value
Daniel Boone,407,3,43,1,0,0,1,Low-Value
Anthony Miller,401,26,1943,1,0,0,1,Low-Value
Troy Howe,405,4,27,1,0,0,1,Low-Value
Phillip Vargas,407,11,272,1,0,0,1,Low-Value
Joseph Shaw,406,3,908,1,0,0,1,Low-Value
Ms. Megan Flores MD,406,1,138,1,0,0,1,Low-Value
Hannah Lewis,406,8,50,1,0,0,1,Low-Value
Brian Wong,406,1,12,1,0,0,1,Low-Value
Kevin Jennings,406,17,518,1,0,0,1,Low-Value
Linda Davis,406,7,2936,1,0,0,1,Low-Value
Arthur Wiley,406,2,490,1,0,0,1,Low-Value
Audrey Flowers,406,2,52,1,0,0,1,Low-Value
Bryce Gibson,406,2,366,1,0,0,1,Low-Value
Tammy Davis,406,42,2256,1,0,0,1,Low-Value
Alejandro Werner,406,1,7,1,0,0,1,Low-Value
Blake Martinez,317,4,107,1,0,0,1,Low-Value
Angela Bautista,406,2,47,1,0,0,1,Low-Value
Mr. Cody Johnson,372,22,2137.2,1,0,0,1,Low-Value
Kelsey Daniels,405,8,364,1,0,0,1,Low-Value
Natalie Campbell,373,37,2369,1,0,0,1,Low-Value
Joshua Smith,368,9,902,1,0,0,1,Low-Value
Jonathan Jones,370,7,277,1,0,0,1,Low-Value
Margaret Walker,405,7,132,1,0,0,1,Low-Value
Erin Nichols,405,18,690,1,0,0,1,Low-Value
Daisy Fields,405,3,37,1,0,0,1,Low-Value
Erin Martinez,405,1,14,1,0,0,1,Low-Value
Ashley Ford,403,1,216,1,0,0,1,Low-Value
Melissa Smith,403,3,704,1,0,0,1,Low-Value
Victoria Gutierrez,403,2,88,1,0,0,1,Low-Value
Kellie Reyes,403,17,1876,1,0,0,1,Low-Value
Laura Watkins,402,16,845,1,0,0,1,Low-Value
Louis Reyes,403,4,765,1,0,0,1,Low-Value
Ann Roberts,338,9,1831,1,0,0,1,Low-Value
Melissa Obrien,403,1,495,1,0,0,1,Low-Value
Sharon Gregory,403,1,36,1,0,0,1,Low-Value
Monica Olsen,403,4,55,1,0,0,1,Low-Value
Amanda Brown,403,1,40,1,0,0,1,Low-Value
Tammy Harper,403,19,325,1,0,0,1,Low-Value
Raymond Porter,402,1,0,1,0,0,1,Low-Value
Brenda Burke,402,2,90,1,0,0,1,Low-Value
Jordan Trujillo,402,6,135,1,0,0,1,Low-Value
Charles Reid,402,3,658,1,0,0,1,Low-Value
Paul Shaw,402,2,81,1,0,0,1,Low-Value
Robert Steele,402,1,120,1,0,0,1,Low-Value
Matthew Kennedy,370,2,90,1,0,0,1,Low-Value
Arthur Martin,402,2,51,1,0,0,1,Low-Value
Marc Fleming,402,2,277,1,0,0,1,Low-Value
Heather Coleman,402,6,1297,1,0,0,1,Low-Value
Todd Graham,402,1,276,1,0,0,1,Low-Value
Jason Perry,402,1,233,1,0,0,1,Low-Value
Joseph Martin,402,2,142,1,0,0,1,Low-Value
Chelsea Mccoy,402,1,50,1,0,0,1,Low-Value
Alexis Cooper,343,2,68,1,0,0,1,Low-Value
Sheila Holt,401,1,512,1,0,0,1,Low-Value
Raymond Gonzalez,401,1,239,1,0,0,1,Low-Value
Brian Gonzalez,401,2,16,1,0,0,1,Low-Value
Anthony Mclaughlin,401,1,50,1,0,0,1,Low-Value
Joseph Montgomery,401,2,99,1,0,0,1,Low-Value
Joshua Little,401,1,302,1,0,0,1,Low-Value
Nicholas Parker,401,1,276,1,0,0,1,Low-Value
Daniel Arroyo,401,1,140,1,0,0,1,Low-Value
Eileen Washington,401,1,302,1,0,0,1,Low-Value
Ronnie Davis,401,1,315,1,0,0,1,Low-Value
Jose Thompson,401,1,48,1,0,0,1,Low-Value
Katherine Torres,400,4,77,1,0,0,1,Low-Value
Nicholas Young Jr.,401,1,225,1,0,0,1,Low-Value
Karen Ramirez,400,1,234,1,0,0,1,Low-Value
Shawn Burke,400,1,18,1,0,0,1,Low-Value
Robert Douglas,400,2,1869,1,0,0,1,Low-Value
Stacey Henderson,400,1,0,1,0,0,1,Low-Value
Olivia Hobbs,347,7,2741,1,0,0,1,Low-Value
Cody Powell,400,1,11,1,0,0,1,Low-Value
Sara Foster,400,3,2929,1,0,0,1,Low-Value
Roberta Harmon,400,1,239,1,0,0,1,Low-Value
Sean Stewart,400,4,108,1,0,0,1,Low-Value
John Beard,400,2,57,1,0,0,1,Low-Value
Catherine Ingram,400,1,613,1,0,0,1,Low-Value
Pamela Ashley,400,3,312,1,0,0,1,Low-Value
Sheila Williams,399,2,648,1,0,0,1,Low-Value
Jessica Estrada,399,1,85,1,0,0,1,Low-Value
Gina Valdez,399,1,30,1,0,0,1,Low-Value
Michele Casey,399,1,248,1,0,0,1,Low-Value
Pamela Thornton,399,1,12,1,0,0,1,Low-Value
William Fisher,373,3,544,1,0,0,1,Low-Value
Jennifer Shaw,398,1,27,1,0,0,1,Low-Value
Melissa Moore,398,5,49,1,0,0,1,Low-Value
Hector Ochoa,396,2,342,1,0,0,1,Low-Value
Jack Bell,396,1,9,1,0,0,1,Low-Value
Peter Evans MD,396,1,221,1,0,0,1,Low-Value
Leslie Stuart,396,1,631,1,0,0,1,Low-Value
Juan Wilkinson,396,3,128,1,0,0,1,Low-Value
Lauren Boyd,396,1,232,1,0,0,1,Low-Value
Donald Johnson,396,1,259,1,0,0,1,Low-Value
Juan Barnes,385,5,398,1,0,0,1,Low-Value
Carrie Moran,345,13,288,1,0,0,1,Low-Value
Brenda Graves,396,1,20,1,0,0,1,Low-Value
William Adams,396,2,613,1,0,0,1,Low-Value
Matthew Cox,396,3,90,1,0,0,1,Low-Value
Mary Terry,392,8,105,1,0,0,1,Low-Value
Shane Yates,396,7,108,1,0,0,1,Low-Value
Rebecca Adams,346,3,153,1,0,0,1,Low-Value
Mr. Daniel Ferrell,395,1,126,1,0,0,1,Low-Value
Corey White,395,1,279,1,0,0,1,Low-Value
Ana Tate,395,1,180,1,0,0,1,Low-Value
Jaime Bentley,395,2,276,1,0,0,1,Low-Value
Todd Cohen,395,4,360,1,0,0,1,Low-Value
Kevin Barnes,395,4,225,1,0,0,1,Low-Value
Traci Heath,395,2,406,1,0,0,1,Low-Value
Patrick Petty,332,4,309,1,0,0,1,Low-Value
Tanya Lamb,395,2,535,1,0,0,1,Low-Value
Sharon Fleming,395,1,30,1,0,0,1,Low-Value
Victoria Rosales,371,13,144,1,0,0,1,Low-Value
Kevin Rice,395,24,861,1,0,0,1,Low-Value
Daniel Ruiz,395,3,370,1,0,0,1,Low-Value
Patricia Ortiz,395,4,180,1,0,0,1,Low-Value
Laura Ford,394,3,1865,1,0,0,1,Low-Value
Jeremy Perry,394,1,90,1,0,0,1,Low-Value
Kevin Owens,394,2,343,1,0,0,1,Low-Value
Amy Taylor,394,2,112,1,0,0,1,Low-Value
Jasmine Flowers,394,5,473,1,0,0,1,Low-Value
Joshua Hill,394,1,306,1,0,0,1,Low-Value
James Harper,368,11,714,1,0,0,1,Low-Value
George Andersen,394,1,63,1,0,0,1,Low-Value
Michele Harvey,394,3,86,1,0,0,1,Low-Value
Jessica Murray,394,1,334,1,0,0,1,Low-Value
Natasha Garza,394,1,50,1,0,0,1,Low-Value
Andrea Carter,393,6,270,1,0,0,1,Low-Value
Lauren Hunter,393,1,39,1,0,0,1,Low-Value
Sierra Flores,393,4,135,1,0,0,1,Low-Value
Sherry Lee,393,1,30,1,0,0,1,Low-Value
Robert Hendricks,388,3,1131,1,0,0,1,Low-Value
Hector Williams,393,1,304,1,0,0,1,Low-Value
Donna Lopez,393,1,54,1,0,0,1,Low-Value
Tara Escobar,393,1,4,1,0,0,1,Low-Value
Eric Baker,393,1,28,1,0,0,1,Low-Value
Peter Morris,393,4,857,1,0,0,1,Low-Value
Zachary Ramirez,393,1,262,1,0,0,1,Low-Value
Jill Lee,380,4,1462,1,0,0,1,Low-Value
John Peters,393,1,120,1,0,0,1,Low-Value
Stephen Wade,393,1,3,1,0,0,1,Low-Value
Elizabeth Campbell,393,2,66,1,0,0,1,Low-Value
Gary Graves,388,6,1229,1,0,0,1,Low-Value
Louis Norris,323,4,848,1,0,0,1,Low-Value
Walter Reilly,392,8,615,1,0,0,1,Low-Value
Darryl Doyle,392,1,108,1,0,0,1,Low-Value
Mckenzie Flores,392,2,72,1,0,0,1,Low-Value
Laura Wright,392,2,329,1,0,0,1,Low-Value
Kristen Norris,389,2,220,1,0,0,1,Low-Value
Tina Nelson,392,1,248,1,0,0,1,Low-Value
Timothy Mitchell,392,1,7,1,0,0,1,Low-Value
Nicole Williamson,392,1,270,1,0,0,1,Low-Value
Jasmin Garcia,392,4,117,1,0,0,1,Low-Value
Miss Melissa Fields MD,386,18,833,1,0,0,1,Low-Value
Mrs. Tammy Bird,392,16,686,1,0,0,1,Low-Value
James Miller,392,1,6,1,0,0,1,Low-Value
Mark Saunders,392,2,14,1,0,0,1,Low-Value
Courtney Obrien,392,4,157,1,0,0,1,Low-Value
Lorraine Austin,392,1,238,1,0,0,1,Low-Value
Melanie Williams,392,1,180,1,0,0,1,Low-Value
Blake Smith,345,7,1178,1,0,0,1,Low-Value
James Torres,391,2,172,1,0,0,1,Low-Value
Thomas Guzman,391,4,56,1,0,0,1,Low-Value
Paul Bates,391,2,35,1,0,0,1,Low-Value
Chad Harris,391,1,40,1,0,0,1,Low-Value
John Phelps,391,1,25,1,0,0,1,Low-Value
Jordan Garcia,391,1,360,1,0,0,1,Low-Value
Haley Espinoza,391,10,273,1,0,0,1,Low-Value
Jacob Dyer,389,2,183,1,0,0,1,Low-Value
Donna Campbell,389,3,1099,1,0,0,1,Low-Value
Jeffery Ferguson,389,1,349,1,0,0,1,Low-Value
Kirsten Diaz,389,2,598,1,0,0,1,Low-Value
Eric Gonzales,389,1,23,1,0,0,1,Low-Value
Karen Pineda,389,2,964,1,0,0,1,Low-Value
David Reed,389,5,108,1,0,0,1,Low-Value
Lauren Lamb,389,1,90,1,0,0,1,Low-Value
Kathy May,389,2,404,1,0,0,1,Low-Value
Becky Benson,389,1,69,1,0,0,1,Low-Value
Edward Richardson,386,6,154,1,0,0,1,Low-Value
Sheila Riley,389,1,432,1,0,0,1,Low-Value
Marc Knapp,382,2,30,1,0,0,1,Low-Value
Michele Martinez,389,2,292,1,0,0,1,Low-Value
Joshua Gomez,389,1,270,1,0,0,1,Low-Value
Earl Rivera,389,1,523,1,0,0,1,Low-Value
John Chapman,388,2,56,1,0,0,1,Low-Value
Carl Bryant,388,1,11,1,0,0,1,Low-Value
Alicia Davis,388,1,400,1,0,0,1,Low-Value
Dawn Brown,321,22,790,1,0,0,1,Low-Value
Brian Larson,388,1,6,1,0,0,1,Low-Value
Wendy Hamilton,388,13,642,1,0,0,1,Low-Value
Mr. Albert Davies MD,388,1,149,1,0,0,1,Low-Value
Nancy Hubbard,388,1,30,1,0,0,1,Low-Value
Eric Rojas,388,1,126,1,0,0,1,Low-Value
Jennifer Singleton,388,1,252,1,0,0,1,Low-Value
Marissa Pruitt,388,1,215,1,0,0,1,Low-Value
Brent Knight,388,2,504,1,0,0,1,Low-Value
Angela Harmon,379,13,1089,1,0,0,1,Low-Value
Melody Morgan,388,2,752,1,0,0,1,Low-Value
Joseph Kelley,388,2,216,1,0,0,1,Low-Value
Todd Brown,388,1,36,1,0,0,1,Low-Value
Nicole Zimmerman,384,6,178,1,0,0,1,Low-Value
Sherry Allen,343,5,815,1,0,0,1,Low-Value
Laurie Sanchez,387,2,247,1,0,0,1,Low-Value
Adam Garza,387,5,63,1,0,0,1,Low-Value
Peter Little,387,2,260,1,0,0,1,Low-Value
Tina Mcconnell MD,387,4,598,1,0,0,1,Low-Value
Caitlin Harrison MD,339,2,96,1,0,0,1,Low-Value
Thomas Leonard,378,3,333,1,0,0,1,Low-Value
Benjamin Randolph,386,5,76,1,0,0,1,Low-Value
Pamela Wolfe,387,1,48,1,0,0,1,Low-Value
Ryan Cervantes,387,3,375,1,0,0,1,Low-Value
Olivia Fischer,387,11,185,1,0,0,1,Low-Value
Brooke Day,387,2,90,1,0,0,1,Low-Value
Robert Chandler,368,7,1139,1,0,0,1,Low-Value
Natalie Mckinney,382,11,291,1,0,0,1,Low-Value
Joseph Mendoza,346,6,118,1,0,0,1,Low-Value
Ryan Hodge,386,4,337,1,0,0,1,Low-Value
Kenneth Martin,386,1,631,1,0,0,1,Low-Value
Jared Wallace,386,1,176,1,0,0,1,Low-Value
Darren Martinez,386,6,92,1,0,0,1,Low-Value
Jennifer Alvarez,386,6,307,1,0,0,1,Low-Value
Sharon Carr MD,386,1,551,1,0,0,1,Low-Value
Clarence Richards,386,1,105,1,0,0,1,Low-Value
Robert Bryant,386,3,36,1,0,0,1,Low-Value
Sabrina Foster,386,2,30,1,0,0,1,Low-Value
Tamara Hawkins,386,1,390,1,0,0,1,Low-Value
Brittany Cabrera,386,1,36,1,0,0,1,Low-Value
Kyle Roberts,386,7,1197,1,0,0,1,Low-Value
Kelly Hoffman,385,10,854,1,0,0,1,Low-Value
Bridget Pena,386,3,12,1,0,0,1,Low-Value
Marissa Carter,386,2,72,1,0,0,1,Low-Value
Helen Bailey,386,1,135,1,0,0,1,Low-Value
Amanda Bates,386,3,42,1,0,0,1,Low-Value
Melissa Washington,322,4,1387,1,0,0,1,Low-Value
Anita Johnston,384,35,1541,1,0,0,1,Low-Value
Jacob Howell,323,2,574,1,0,0,1,Low-Value
Garrett Collins,385,1,42,1,0,0,1,Low-Value
Lisa Chapman,380,3,222,1,0,0,1,Low-Value
Paula Wise,385,2,80,1,0,0,1,Low-Value
Amber Phillips,385,5,280,1,0,0,1,Low-Value
Lisa Odonnell,385,2,227,1,0,0,1,Low-Value
Dan Mitchell,385,3,2510,1,0,0,1,Low-Value
Tanya Kelley,382,4,482,1,0,0,1,Low-Value
Chad Peters,385,1,324,1,0,0,1,Low-Value
Vincent Mcdaniel,384,1,36,1,0,0,1,Low-Value
Robert Harris,384,2,707,1,0,0,1,Low-Value
Brooke Mann,384,1,279,1,0,0,1,Low-Value
Joseph Navarro,384,2,35,1,0,0,1,Low-Value
Nathaniel Lee,384,2,198,1,0,0,1,Low-Value
Rachel Chandler,384,1,14,1,0,0,1,Low-Value
Frank Rivera,384,2,288,1,0,0,1,Low-Value
Victor Garza,384,1,50,1,0,0,1,Low-Value
Sabrina Gray,384,1,523,1,0,0,1,Low-Value
Haley James,384,1,324,1,0,0,1,Low-Value
Paul Christensen,384,1,44,1,0,0,1,Low-Value
Jeff Christian,343,7,388,1,0,0,1,Low-Value
Mrs. Tara Kennedy,384,2,487,1,0,0,1,Low-Value
Randy Parker,384,4,90,1,0,0,1,Low-Value
Peter Pennington,384,6,269,1,0,0,1,Low-Value
Brandon Gallagher,384,1,372,1,0,0,1,Low-Value
James Lloyd,382,1,12,1,0,0,1,Low-Value
Ricardo Carrillo,382,13,300,1,0,0,1,Low-Value
Sara Roberts,382,2,581,1,0,0,1,Low-Value
Rebecca Edwards,382,1,180,1,0,0,1,Low-Value
Cynthia Huang,381,7,117,1,0,0,1,Low-Value
Jose Delgado,382,3,237,1,0,0,1,Low-Value
Megan Chapman,382,3,445,1,0,0,1,Low-Value
Kelly Peck,382,1,144,1,0,0,1,Low-Value
Julie Hartman,382,1,195,1,0,0,1,Low-Value
Thomas Rios,382,2,23,1,0,0,1,Low-Value
Tracy Bowers,382,1,28,1,0,0,1,Low-Value
Anthony Dixon,382,5,1323,1,0,0,1,Low-Value
Andrea Rivera,382,1,144,1,0,0,1,Low-Value
Jeffrey Bell,322,5,545,1,0,0,1,Low-Value
Jessica Rodriguez,382,1,26,1,0,0,1,Low-Value
Kenneth Mcfarland,382,1,216,1,0,0,1,Low-Value
Chase Robinson,382,2,911,1,0,0,1,Low-Value
Amanda Gentry,382,1,340,1,0,0,1,Low-Value
Troy Robinson,382,2,45,1,0,0,1,Low-Value
Samantha Alvarez,382,3,49,1,0,0,1,Low-Value
Roger Mccoy,381,4,525,1,0,0,1,Low-Value
Anthony Lowe MD,381,2,1087,1,0,0,1,Low-Value
Carlos Ward,381,3,56,1,0,0,1,Low-Value
Peter Myers,381,2,251,1,0,0,1,Low-Value
Derek Bell,381,2,349,1,0,0,1,Low-Value
Casey Perry,381,1,11,1,0,0,1,Low-Value
Raymond Montgomery,373,5,92,1,0,0,1,Low-Value
Richard Park,380,2,143,1,0,0,1,Low-Value
Austin Clark,381,7,1592,1,0,0,1,Low-Value
Mike Thomas,381,5,86,1,0,0,1,Low-Value
Douglas Collins,381,4,45,1,0,0,1,Low-Value
Christopher Espinoza,381,1,486,1,0,0,1,Low-Value
Christina Tran,381,1,25,1,0,0,1,Low-Value
Aaron Dunn,381,1,7,1,0,0,1,Low-Value
Desiree Thompson,381,1,216,1,0,0,1,Low-Value
Eric Davis,381,3,676,1,0,0,1,Low-Value
William Gregory,381,2,59,1,0,0,1,Low-Value
Dawn Ford,381,2,41,1,0,0,1,Low-Value
Michelle Mason,380,1,38,1,0,0,1,Low-Value
James Summers,365,12,1019,1,0,0,1,Low-Value
Ashley Lane,380,2,432,1,0,0,1,Low-Value
Juan Martin,380,2,54,1,0,0,1,Low-Value
Jesus Fernandez,367,11,1320,1,0,0,1,Low-Value
Lindsay Garcia,380,2,386,1,0,0,1,Low-Value
Dustin Wilson,380,1,22,1,0,0,1,Low-Value
Theresa Perez,380,9,1473,1,0,0,1,Low-Value
Justin Howe,380,2,48,1,0,0,1,Low-Value
Victor Trujillo,380,1,1396,1,0,0,1,Low-Value
Andrew Collins,380,1,306,1,0,0,1,Low-Value
Susan Vaughn,380,2,90,1,0,0,1,Low-Value
Paul Dominguez,380,7,80,1,0,0,1,Low-Value
Scott Jones,380,93,6521,1,0,0,1,Low-Value
Danielle Ramirez,380,2,21,1,0,0,1,Low-Value
Mitchell Martinez,380,4,774,1,0,0,1,Low-Value
Kevin Medina,379,1,225,1,0,0,1,Low-Value
Michael Richards,379,16,425,1,0,0,1,Low-Value
Cheryl Decker,379,3,322,1,0,0,1,Low-Value
Amy Kelly,379,1,276,1,0,0,1,Low-Value
Monica Ramirez,379,1,218,1,0,0,1,Low-Value
Kayla Rivas,364,2,8,1,0,0,1,Low-Value
Crystal Ramirez,379,1,45,1,0,0,1,Low-Value
Jennifer Kennedy,317,23,4143,1,0,0,1,Low-Value
Meghan Tate,379,7,260,1,0,0,1,Low-Value
Joseph Perez,379,3,28,1,0,0,1,Low-Value
Keith Hanna,379,8,140,1,0,0,1,Low-Value
Joanne Williams,379,4,468,1,0,0,1,Low-Value
Margaret Hamilton,379,4,110,1,0,0,1,Low-Value
Karen Clark,379,1,33,1,0,0,1,Low-Value
James Mendez,332,11,736,1,0,0,1,Low-Value
Hailey Gaines,371,18,6890,1,0,0,1,Low-Value
Melissa Taylor,379,2,126,1,0,0,1,Low-Value
Rachel Smith,379,2,1037,1,0,0,1,Low-Value
Blake Lee,375,13,593,1,0,0,1,Low-Value
Matthew Reynolds,379,8,809,1,0,0,1,Low-Value
Hannah Edwards,379,1,45,1,0,0,1,Low-Value
Dustin Oliver,379,1,360,1,0,0,1,Low-Value
Julia Walker,379,1,270,1,0,0,1,Low-Value
Dana Diaz,379,2,112,1,0,0,1,Low-Value
Timothy Cuevas,379,1,23,1,0,0,1,Low-Value
Jamie Williams,379,3,378,1,0,0,1,Low-Value
